name,latitude,longitude
Tulovo,57.4517,37.379
Ozero Kustozero,60.4929,37.3868
Fedoseikha,57.7942,37.3962
Krasnyy Khutor,51.59472,37.40333
Bol’shaya Puditsa,57.13528,37.4125
Pirogovo,54.58351,37.41893
Khimki,55.9001,37.42848
Nizhneye Romanovo,54.81968,37.43628
Oznobishino,55.40033,37.44575
Sandarovo,55.2503,37.45179
Osinovets,57.3823,37.4602
Tushanka,58.0719,37.4671
Andreytsevo,57.3919,37.4766
Molokovo,60.48333,37.48333
Stantsiya Malakhovo,54.35934,37.49389
Sushka,54.87196,37.50155
Petrovskiy,54.18606,37.51158
Sologovskoye,57.41667,37.51667
Dolgoye,52.05814,37.52491
Sovkhoz Leninskiye Gory,55.7,37.53333
Lagovskoye,55.31011,37.54079
Ushchel’ye Dyurso,44.68333,37.55
Zaytsevo,54.80484,37.55688
Muratovo,52.50447,37.56489
Bol’shoye Novo,59.12469,37.57165
Bol’shaya Gorodnya,54.75112,37.58137
Butyrsky District,55.81573,37.58629
Druzhba,53.9181,37.5934
Yurkino,56.73333,37.6
Bykovo,55.47778,37.60722
Ostanovochnyy Punkt 201 km,57.3175,37.6161
Red Square,55.75412,37.62002
Bol’shaya Dora,59.0718,37.62861
Trubino,57.5031,37.635
Sudbishchi,52.95638,37.64292
Yur’yevo,56.05,37.65
Babkin,53.20361,37.65667
Metro Krasnosel'skaya,55.77998,37.66653
Antushevo,59.90059,37.67147
Malinovka,58.11947,37.681
Sknyatino,57.0978,37.6884
Tsaritsino,55.6095,37.69867
Zadovo,57.2704,37.7057
Sof’ino,57.6585,37.7161
Chernozëmovo,56.13588,37.72237
Pobeda,44.76778,37.73278
Cherkizovskaya,55.8049,37.74018
Voskresenovka,51.04311,37.74954
Liman Gusinyy,45.55838,37.75456
Pavlovka,53.67478,37.76502
Poluninka,53.44245,37.77268
Platovets,51.8614,37.7829
Pozhidayevka,52.18778,37.78889
Sovkhoz Imeni Semnadtsatogo Parts”yezda,51.95,37.8
Sudzhukskaya Kosa,44.67934,37.80824
Sigitovo,54.19511,37.81724
Stantsiya Kalyazin,57.2337,37.8282
Privalovo,55.09436,37.83605
Stoylovo,53.92307,37.84779
Krasnyy Oktyabr’,53.39917,37.855
Makarovka,54.8372,37.86349
Urochishche Glubokiy Yar,44.82583,37.87
Mys Penay,44.68023,37.87998
Ovchinnikovo,50.3311,37.8883
Stantsiya Usady-Okruzhnyye,55.15496,37.89668
Chernyavka,53.7836,37.90588
Parnaya,52.33333,37.91667
Novokladovoye,51.3851,37.92333
Medlevo,57.61667,37.93333
Shishkino,57.41389,37.94472
Sobolevo,58.17037,37.95163
Shchepkin,50.521,37.9603
Puzhdmozero,60.7,37.96667
Sitnyanka,50.2172,37.9767
Sukharevo,50.1391,37.9843
Ol’khovets,54.1404,37.99557
